title,date,text
O PLURALISMO SINGULAR DA UFPEL,15/01/2021,Grande número das universidades federais está a serviço de pautas e causas políticas em prejuízo do pluralismo e da própria universalidade do conhecimento.
"UMA VACINA NECESSÁRIA, MAS NÃO OBRIGATÓRIA, CONTRA O VÍRUS DO TOTALITARISMO. DOSE ÚNICA.",29/12/2020,"Como proteger-nos da epidemia totalitária que ameaça a humanidade. Uma uma ""vacina"" filosófica antiga pode reforçar nossas convicções e evitar que as profecias de Orwell se concretizem."
UM NOVO TOTALITARISMO SE ESTRUTURA NO OCIDENTE,21/12/2020,"A exemplo dos anteriores, se apresenta movido a boas intenções; diferentemente dos anteriores, não usa armas, mas avança diretamente sobre a liberdade dos indivíduos."
OS RESPONSÁVEIS PELA IMPUNIDADE PATROCINAM A CRIMINALIDADE  NO BRASIL,08/12/2020,"Os responsáveis ocultos da invasão de Criciúma, nos quais ninguém fala."
O RESULTADO DAS ELEIÇÕES MUNICIPAIS PODERIA TER SIDO MELHOR?,02/12/2020,Uma análise dos resultados. Quem ganhou? Quem perdeu? Poderia ter sido melhor?
O NECESSÁRIO E QUALIFICADO VOTO DOS IDOSOS,24/11/2020,"A experiência e sabedoria dos idosos é necessária a todas as sociedades políticas através dos milênios. Desqualificar seus votos, vê-los como supérfluos,  é mais uma forma de destruir nossa cultura e civilização"
"DEMOCRACIA SEM PRINCÍPIOS, SEM VALORES E SEM VERGONHA NA CARA?",,Por que é preciso laicizar todo o espaço público e tornar íntima toda expressão de religiosidade?
A VITÓRIA DE 2022 COMEÇA AGORA,,"
	A importância das eleições municipais para as eleições nacionais."
EU SOU MAIS BRASIL!,,"
	O interesse nacional tem prioridade sobre política e ideologia. O Brasil e a nação são mais importantes."
A HORA DOS CONSERVADORES,,"
	Por que o mês de novembro é tão importante para o movimento conservador no Brasil?"
VACINA CHINESA? NEM PENSAR!,,"
	Razões para não comprar da China a vacina contra o novo coronavírus."
"STF, LEGISLADOR COMPULSIVO E CASUÍSTA",,"
	Nosso Supremo lê a lei conforme quem seja o presidente da República."
A SUBSTITUIÇÃO DE CELSO DE MELLO,,"
	Considerações sobre a escolha feita pelo presidente."
"AINDA É GUERRA FRIA, PELO DOMÍNIO DA CULTURA",,"
	A disputa pela hegemonia cultural atravessa os séculos. Este vídeo substitui o anterior cujo upload apresentou defeito."
"CRISTOFOBIA, UM TEMA GRAVÍSSIMO",,"
	Breve análise sobre a inclusão desse tema no discurso do presidente na Assembleia Geral da ONU."
O ELEITOR CONSERVADOR EM ELEIÇÕES PARLAMENTARES,,"
	O que é preciso para um programa adequadamente conservador e adequadamente liberal se converter em normas e condutas na gestão pública."
COMO PODEM ESSES MINISTROS JULGAR QUESTÕES DE GOVERNO,,"
	Declarações públicas de animosidade, de antagonismo em relação a uma das partes inabilitam os julgadores."
VERGONHA!,,"
	O Brasil vive momento típico de sociedades degradadas."
COMO TIRAR O GOVERNO DESSA ENCRENCA,,"
	A sociedade tem o direito e o dever de ajudar o governo a superar os obstáculos institucionais que enfrenta"
UMA LIÇÃO NA PONTE,,"
	Uma reflexão sobre a enorme importância de cada cidadão."
A IRREPRIMÍVEL LIBERDADE,,"
	Uma reflexão sobre curiosidades do ""Inquérito do fim do mundo"" e a liberdade humana."
A EXPLOSIVA MISTURA DE AUTORITARISMO E FALTA DE VISÃO,,"
	Vários estados brasileiros paralisaram suas atividades produtivas escondidos de um vírus que ainda não andava por lá."
TEM PETISTA DEMAIS NO STF,,"
	Seria impossível que sete ministros nomeados em presidências petistas não mudassem completamente a conduta do STF. Negar isso é brigar com os fatos."
HOSTILIDADE DOS MINISTROS DO STF AO PRESIDENTE,,"
	Ninguém parece prestar atenção ao modo hostil como os ministros do STF tratam o presidente... Falam em ditadura, mas procedem como se estivessem conduzindo uma."
A PERIGOSA MISTURA DE AUTORITARISMO E FALTA DE VISÃO,,"
	Vários estados brasileiros paralisaram suas atividades produtivas escondidos de um vírus que ainda não andava por lá."
QUERO MEU PAÍS DE VOLTA!,,"
	Quanto mal fizeram ao Brasil quando o tiveram nas mãos!"
O SILÊNCIO É A VOZ DAS DITADURAS,,"
	Meus conceitos de democracia e de conduta antidemocrática diferem muito do paradoxos que hoje se querem vender como coisa boa à Nação."
OS FILHOS DE PAULO FREIRE II,,"
	Colegiais brasileiros têm seu futuro empobrecido em sala de aula por influência de uma pedagogia que é mais eficiente em formar militantes do que estudantes."
"PAPEL DO CENTRÃO, PAPELÃO DA MÍDIA ATIVISTA",,"
	Grandes veículos da mídia brasileira estão torrando sua credibilidade."
FASCISTA? FASCISTA É A MÃE,,"
	A absurda recepção midiática aos ""antifascistas""."
A NAÇÃO AVANÇOU E O STF FICOU PRESO AO PASSADO,,"
	O modo como se fazem os ministros do STF e a atual crise institucional do Brasil."
"O MISTERIOSO, MEDROSO E AMBÍGUO ARTIGO 142 DA CONSTITUIÇÃO",,"
	Uma pergunta que está no ar há 131 anos."
EM QUEM SERVE ESSE CHAPÉU?,,"
	Neste vídeo falo sobre a forma provocativa e grosseira como Celso de Mello convocou as testemunhas arroladas por Sérgio Moro."
" POLÍTICA NÃO É UM JOGO DE ASSISTIR, MAS DE JOGAR.",,"
	E é indispensável saber quem se beneficia das perdas e derrotas que se tenha."
E OS LEITORES QUE SE DANEM?,,"
	Em momento algum o Congresso e o STF dão sinais de prestar qualquer atenção às causas de sua rejeição."
NOTICIÁRIO POLÍTICO E BURRICE COM CERTIFICADO,,"
	Não há divergência alguma entre jornalistas, analistas, comentaristas, atuantes nos grandes canais de notícias da TV brasileira."
O PARTIDO DA MÍDIA,,"
	Poderosos veículos de comunicação se articulam para a tarefa política de desestabilizar o governo e favorecer sua deposição."
UMA BOA CRISE É TUDO QUE ELES QUEREM,,"
	Quando tudo está bem, eles se dão mal; quando tudo está mal eles se dão bem."
CHANTAGISTAS!,,"
	Toda a relação da maioria parlamentar com o governo se dá num ambiente de chantagem."
ASSALTO AO ORÇAMENTO,,"
	Conheça a natureza imoral da atual investida de muitos congressistas aos recursos livres do Orçamento da União."
OS APROVEITADORES,,"
	O Congresso define o orçamento, mas não para fins próprios do Legislativo."
A SOMA DE TODAS AS MENTIRAS,,"
	As narrativas petistas e a tentativa de golpe no Oscar com um documentário de ficção."
CAÍRAM AS MÁSCARAS DA PERVERSÃO,,"
	Nem a sexualidade das crianças e adolescentes escapa à perversidade do movimento revolucionário."
"CONGRESSO NACIONAL, ONDE BANDIDOS FAZEM AS LEIS",,"
	O ano de 2019 comprova. Todos os projetos voltados ao combate à criminalidade e a favor da segurança pública, foram virados do avesso e convertidos no seu oposto no Congresso Nacional."
GARIMPO DE RIQUEZAS DA HISTÓRIA DO BRASIL,,"
	A mão de Deus se manifesta em nossa história."
"VEJA QUEM É ""NAZI"" PARA GOOGLE E FACEBOOK",,"
	Senador Republicano interroga representantes das duas empresas sobre e-mails que, vazados, revelam o alinhamento ideológico dos controles de ambas. Vídeo legendado e disponibilizado na Embaixada da Resistência."
AMOR AO BRASIL E A PORTUGAL,,"
	Como entender que a linda história destas duas nações seja usada para destruir a identidade nacional?"
"O QUE É BOM PARA NÓS, É BOM PARA O BRASIL",,"
	Após um período de recesso para colocar em dia a leitura de livros que queria ter lido durante o ano, mas não tive tempo, afirmo: ainda que muitos queiram preservar a lixeira de onde saímos, o Brasil encontrou seu rumo certo."
MEU PRONUNCIAMENTO NA MANIFESTAÇÃO DIA 8/12/2019 EM PORTO ALEGRE,,"
	1) Vídeo gravado pela amiga fotógrafa Nadia Raupp Meucci."
A ESQUERDA E O DISCURSO QUE FALA DE POBRE,,"
	A esquerda tem medo de uma solução que funcione. Ela perde eleitorado com isso."
"OS FORTES RESISTEM, OS FRACOS DESISTEM",,"
	As mobilizações populares dos últimos seis anos estão entre os fatos políticos mais significativos da história republicana."
ÍNTEGRA DE MEU DISCURSO NO PARCÃO EM PORTO ALEGRE NA MANIFESTAÇÃO DO DIA 27NOV,,"
	Vídeo gravado com maior qualidade de som e imagem, fornecido pela amiga, fotógrafa Nadia Raupp Meucci. Na sequência das manifestações em todo o Brasil ficou provado que a pressão popular produz efeitos, sim. O Congresso Nacional começou a se mexer."
ÀS RUAS CONTRA GILMAR E TOFFOLI,,"
	Ficar em casa, hoje, é legitimar o que o STF está fazendo contra a dignidade e a honra nacional."
ISSO NÃO TEM PERDÃO,,"
	O mal que seis ministros do STF fizeram ao Brasil entrará para as páginas repulsivas da História daquele poder."
"O STF, O TÚNEL E O AVESTRUZ",,"
	Façam de conta que a nação não existe!"
TERRÍVEIS SUSPEITAS CERCAM O STF,,"
	Como não suspeitar de uma decisão tão contra a moral?"
"O BRASIL VAi, COM AS PRÓPRIAS PERNAS",,"
	O Brasil e seu ingresso na OCDE. Pense nisso."
SEGUIDORES DE PAULO FREIRE E A TRAGÉDIA DA EDUCAÇÃO BRASILEIRA,,"
	Mesmo diante dos resultados desastrosos, insistem em difundir o marxismo e no inexplicável culto ao inacreditável patrono da educação nacional. Neste vídeo falo sobre o verdadeiro caminho da liberdade."
"ADVERSÁRIOS, CONVENÇAM SE. BOLSONARO VENCEU E A IDEOLOGIA DE VOCÊS PERDEU",,"
	Havia setores imensos da sociedade cegos para a ideologia petista e seus estragos. A Nação acordou, mas há quem teime em voltar ao passado, nem que para isso precise arrasar o país."
OS 10 PRINCIPAIS INIMIGOS DO GOVERNO BOLSONARO,,"
	A lista completa é bem mais extensa, mas estes dez já fazem um bom estrago."
PARA DAR UM BASTA À DITADURA DO STF,,"
	A importância do apoio às medidas saneadores pelas quais pressiona o grupo de senadores do MUDA SENADO."
"STF, O ATRASO VESTE TOGA",,"
	A atual configuração da Suprema corte é legado de um passado que a sociedade rejeita."
"SÃO ATORES ERRADOS, NO TEATRO ERRADO, NA HORA ERRADA, COM PAPEIS ERRADOS",,"
	Meu pronunciamento  em 25/08/2019 à tarde, na manifestação do Parcão, em Porto Alegre."
AGORA A FACADA É NO BRASIL,,"
	São capazes de qualquer insanidade, histeria e mistificação contra o país para atingir o Presidente."
"O VOTO DOS MASCARADOS, SEM NOME E SEM ROSTO, EM FAVOR DA CRIMINALIDADE",,"
	Como congressistas, escondendo a identidade como qualquer bandido, na contramão da opinião pública, atropelou o povo e aprovou lei restringindo a ação contra os criminosos."
MÉDICO DE RONDÔNIA FALA SOBRE QUEIMADAS,,"
	Depoimento  desfaz toda a intriga e as mentiras sobre um fenômeno que é comum e está abaixo da média anual, mas se transforma em pauta mundial por força de escusos interesses nacionais e internacionais."
OS FORA DA LEI,,"
	Quem são e como vivem os que estão nessa situação."
A INGENUIDADE DE ALGUNS FAZ MAL AO PAÍS DE TODOS,,"
	Política é um jogo que se joga. Não é um jogo que apenas se assiste."
UM POBRE PAÍS RICO,,"
	Por que se tornou essencial aos governos emendar a Constituição?"
INIMIGOS!,,"
	Breve discurso sobre o inimigo político."
MINISTRO WEINTRAUB FALA SOBRE PAULO FREIRE,,"
	Em poucas palavras, o ministro da Educação coloca Paulo Freire no devido lugar durante entrevista à Jovem Pan."
OS MUTILADOS DA GUERRA CULTURAL,,"
	Demoramos meio século para saber que havia uma guerra cultural e que a estávamos perdendo feio."
A TRAGÉDIA DA UTOPIA 60 ANOS DA REVOLUÇÃO CUBANA,,"
	História e sofrimento de um povo como eu o conheci."
BOLSONARO EM UMA GUERRA SEM FIM,,"
	Querem calar a sociedade para isolar o Presidente."
É POR DESCONFIAR DAS INSTITUIÇÕES QUE O POVO VAI ÀS RUAS!,,"
	Foi a bendita mobilização popular que começou a mudar o Brasil. E não pode parar."
"BRASILEIROS, ÀS RUAS!",,"
	Não serviremos ao país ficando em casa."
E A ISSO A MAIORIA DO ELEITORADO DISSE NÃO!,,"
	O Centrão não é ""o Congresso"" e não é uma frente política respeitável."
O BRASIL NO CABO DE GUERRA,,"
	Há gente no Congresso querendo formar maioria para governar o governo e deixar tudo como estava."
"DE CHICO ANYSIO A ROBERTO CAMPOS, EX-COMUNISTAS SE CONFESSAM",,"
	Antes comunistas, cresceram, com disse Roberto Campos. Veja o que algumas personalidades, já falecidas, falaram sobre o comunismo."
POR QUE AMAR O BRASIL,,"
	A bela história do Brasil começa muitos séculos antes do Descobrimento. Conhecê-la é conhecer-nos. É conhecer nossa dignidade e importância, condição para conhecer, também, a dignidade dos outros."
AOS ELEITORES DO PRESIDENTE,,"
	Pela primeira vez na História, a cidadania ganhou condições de ser exercida de modo permanente. Faça isso para o bem do Brasil!"
"AH, SE OS DESEMPREGADOS FALASSEM!",,"
	O que diriam eles sobre as causas de sua situação?"
MARCEL VAN HATTEM - AULA DA PREVIDÊNCIA,,"
	O líder do NOVO na Câmara, Marcel van Hattem (NOVO-RS), explicou na CCJ como a atual Previdência é uma máquina de desigualdade."
ÓDIO AO AMOR À PÁTRIA,,"
	Bolsonaro incomoda e é hostilizado hoje pelos que sempre hostilizaram e combateram veementemente o ideário cívico e conservador."
PAULO GUEDES EXPLICA PLANO ECONÔMICO DO GOVERNO BOLSONARO,,"
	Conheça a natureza dos problemas econômicos nacionais e a saída proposta pelo ministro."
QUANDO IGNORÂNCIA E MENTIRA VIRAM CONHECIMENTO,,"
	Precisamos, agora, vencer o malicioso vírus do desamor ao Brasil!"
A ESQUERDA ESTRAGA TUDO,,"
	É conhecida a frase de Roger Scruton afirmando que se tornou conservador porque percebeu que era mais fácil destruir do que construir algo.  Excelente vídeo de Prager U, com Tradutores de Direita."
"VÉLEZ, ARAÚJO, DAMARES E A MÍDIA",,"
	Por que esses três ministros incomodam tanto certo jornalismo brasileiro..."
A ARMADILHA COMUNISTA E O GENOCÍDIO VENEZUELANO,,"
	Há um século o comunismo precisa que muitos desarmados passem fome para manter armados e alimentados os que o sustentam."
PROFISSIONAIS DA MENTIRA,,"
	Sobre como a dissonância cognitiva e a mentira corrompem escandalosamente o conhecimento histórico e afetam sucessivas gerações."
O QUE É MAIS DANOSO DO QUE A CORRUPÇÃO?,,"
	Sim, há um inimigo público, muito mais nocivo, que também precisa ser incessantemente combatido!"
PRESTÍGIO DOS MILITARES DESNORTEIA A ESQUERDA,,"
	A esquerda não se conforma com haver perdido a eleição para militares."
"BOLSONARO, DAVOS E A IMPRENSA",,"
	Desmascarando o comportamento da extrema imprensa com relação ao novo governo."
RENAN PRESIDINDO O SENADO SERÁ O SUICÍDIO POLÍTICO DO MDB,,"
	Que fique claro: o principal responsável por eventual vitória de Renan Calheiros na eleição para presidente do Senado não será o voto secreto. Será o partido que o indica: o MDB!"
CARTÃO AMARELO PARA TODA OPOSIÇÃO IRRESPONSÁVEL,,"
	Se vamos começar assim,vamos terminal mal."
"POR QUE BOLSONARO, ""NO PALANQUE"", INCOMODA TANTO",,"
	A esquerda brasileira é alérgica ao discurso que está reunificando a nação."
AOS ELEITORES DO PRESIDENTE BOLSONARO,,"
	Temos a responsabilidade de preservar o prestígio interno do presidente contra as forças terríveis que investirão contra ele."
CRIMES DO COMUNISMO CUBANO QUE A ESQUERDA NÃO CONTA,,"
	O que foi a Primavera Negra de Cuba. Uma história que acompanhei de perto e nunca lhe foi narrada."
"PERCIVAL PUGGINA DISCORRENDO SOBRE A OBRA ""DESCONSTRUINDO PAULO FREIRE""",,"
	Vídeo gravado para o site História Expressa, sobre o best seller organizado pelo professor Thomas Giulliano Gerreira dos Santos, para o qual escrevi o capítulo sobre ""O mundo político de Paulo Freire""."
"JORDAN PETERSON, EMOCIONANTE",,"
	Jordan Peterson, neste vídeo dos Tradutores de Direita, fica emocionado ao relatar experiências em palestras a jovens com problemas de conduta. "
DESVENDANDO O MISTÉRIO DOS 44 MILHÕES DE VOTOS DE HADDAD,,"
	Quem foram esses eleitores e quantos desses votos são realmente apoio estável à oposição."
ENGANAÇÃO E HIPOCRISIA NOS FALSOS DIREITOS HUMANOS,,"
	Ao imporem, como se fossem autênticos direitos humanos, meras reivindicações de militantes parceiros, organizações de esquerda prejudicaram a população e, por fim, a si mesmas."
MUITO CUIDADO SENHORES PAIS!,,"
	É possível que algum militante esteja fazendo a cabeça de seus filhos."
A INVEJÁVEL MISÉRIA DE CUBA,,"
	Este vídeo é absolutamente verdadeiro e realista no que informa. Conheço bem como são as coisas em Cuba e a tudo isso testemunhei pessoalmente. "
GARANTISMO PENAL E GUERRA CULTURAL,,"
	O promotor de Justiça Leonardo Giardin de Souza fala sobre o  garantismo penal e o uso abusivo das garantias processuais para salvaguarda do cometimento de crimes."
NOSSO BRASIL DE VOLTA!,,"
	A vitória de Bolsonaro é a salvação do Brasil."
EM QUEM BANDIDOS E CORRUPTOS VOTARÃO NO DIA 28/10?,,"
	A quem interessa (muuuito) a volta do PT?"
FASCISTA É A ESQUERDA INTOLERANTE E COLETIVISTA,,"
	Infelizmente a ignorância política não dói, não coça nem dá falta de ar. Sem perceber, acusam os outros daquilo que são."
AGORA É BOLSONARO. O RESTO É FIGURANTE.,,"
	Eleitores isentões podem parar de inventar moda. A maioria já decidiu que esta eleição presidencial se trava entre Bolsonaro e o petismo."
O BRASIL ENTRE A SALVAÇÃO E A PERDIÇÃO,,"
	O futuro sairá das urnas. Ou o país rompe com a esquerda ou afunda de vez. A Venezuela é logo ali."
180906 O IMPEACHMENT DE DILMA FOI BOM PARA O BRASIL?,,"
	O que teria acontecido no país se Dilma concluísse seu trágico mandato."
O SEMIABERTO E A NOSSA INSEGURANÇA,,"
	Por que tantos criminosos são libertados por juízes que dizem ter as mãos atadas?"
DESTRUIÇÃO CRIMINOSA DA AUTOESTIMA E DA DIGNIDADE NACIONAL,,"
	Não é nossa história, nem são nossas preciosas heranças culturais o que me constrange. Tenho vergonha é da política que fazemos!"
DESARMAR A POPULAÇÃO É COMO SERRAR OS CHIFRES DAS GAZELAS,,"
	Alguns dias após a eleição presidencial de 2012, Bill Whittle fez um discurso em que mostrava o que um candidato conservador que de fato acreditasse nos princípios conservadores deveria ter dito para vencer as eleições. Este discurso ficou muito famoso e foi traduzido pelos Tradutores de Direita em 2015."
SOLIDARIEDADE A OLAVO DE CARVALHO,,"
	A democratização do direito de opinião e a censura nas redes sociais."
CALOROSO APOIO DE LULA E SEU PARTIDO A CHÁVEZ E MADURO,,"
	Impressionantes depoimentos de Lula e seu partido em favor dos ditadores venezuelanos e sua destruidora obra política."
JORDAN PETERSON: A IMPORTÂNCIA DOS PAIS,,"
	Um breve e maravilhoso discurso legendado sobre responsabilidade! Parabéns aos Tradutores de Direita."
A ESTRATÉGIA GOLPISTA DO PT,,"
	Onde o PT realmente quer chegar com a candidatura de Lula."
HABEAS DE LULA E DIRCEU - O FANATISMO DOMINANDO O ESTADO,,"
	Os quatro caminhos para fazê-los parar."
A TIRANIA DOS SUSCETÍVEIS,,"
	Breve comentário, com tradução, do processo de validação da vitimização."
ESTADO LAICO - MANTRA PARA ENGANAR BOBO,,"
	Como a esquerda distorce o princípio da laicidade do Estado para ficar falando sozinha."
O MIMIMI DA ESQUERDA QUE DESPREZA O BRASIL,,"
	Retiram a dignidade da história do Brasil para que os brasileiros não tenham identidade nacional e não se reconheçam dignos no tempo presente."
NÃO HAVERÁ INTERVENÇÃO. HAVERÁ ELEIÇÃO.,,"
	A esquerda está adorando o discurso intervencionista."
CINCO MEDIDAS CONTRA OS INIMIGOS DO BRASIL,,"
	Para aproveitar de modo positivo a lição da greve dos caminhoneiros."
O IRRESPONSÁVEL APOIO AOS PROMOTORES DO CAOS,,"
	O Brasil jogado no acostamento pelos inescrupulosos que se infiltraram e dominam a greve dos caminhoneiros. E Cinco Medidas contra os Inimigos do Brasil."
"JORDAN PETERSON ""PEGANDO"" UMA JORNALISTA",,"
	 "
A HORA ESCURA DO BRASIL E A IRRESPONSABILIDADE DOS GRANDES PARTIDOS,,"
	O indesculpável papel dos partidos históricos numa hora e numa eleição tão importante para o futuro do país."
A ESQUERDA PRECISA FAZER COM QUE TUDO VÁ MAL PARA QUE ELA POSSA IR BEM,,"
	Observações de uma viagem a Portugal."
"OS ""FILHOS"" DE PAULO FREIRE",,"
	As trágicas consequências da Pedagogia da Opressão"
A DESPUDORADA LUTA PELA IMPUNIDADE NO STF,,"
	A sociedade assiste estarrecida cinco ministro lutarem como legionários, como falange, a serviço da eterna impunidade dos crimes de colarinho branco."
PROCURADOR DE JUSTIÇA DENUNCIA A INDECENTE IMPUNIDADE NO BRASIL,,"
	Com dados do sistema, números na tela, Procurador de Justiça Marcelo Monteiro desmonta as falácias com que protetores ideológicos da bandidagem escondem as trágicas dimensões da impunidade . E têm apoio do STF para agravá-la ainda mais."
A NAÇÃO SE ERGUE CONTRA A IMPUNIDADE,,"
	Quem não for às ruas dia 3 de abril está com Gilmar Mendes, Dias Toffoli, Ricardo Lewandowski, Marco Aurélio Mello, Celso de Mello e Rosa Weber. E contra o Brasil."
AS FALÁCIAS E A HIPOCRISIA DE CERTOS MILITANTES DE “DIREITOS HUMANOS”,,"
	Agem, realmente, em defesa de direitos humanos, certos defensores de ""direitos humanos""?"
DEPUTADO GAÚCHO DESMASCARA MIMIMI PETISTA SOBRE CARAVANA DE LULA,,"
	Deputado estadual Sérgio Turra desmonta o vitimismo da bancada petista após rejeição do Rio Grande do Sul à caravana de Lula."
UNIVERSIDADE PÚBLICA VIROU ESCOLINHA DO PT?,,"
	A impunidade faz mal ao Brasil. A perda do senso moral, também."
"TRÉGUA À HIPOCRISIA, POR FAVOR!",,"
	Como podem os ""direitos humanos"" obstar operações para defesa daqueles que estão com seus direitos tolhidos e suas vidas sob permanente risco?"
QUANDO ATÉ A MORALIDADE É UMA IMPOSTURA,,"
	Credibilidade é um patrimônio de construção lenta e perda rápida."
O COMPLICADO MOMENTO BRASILEIRO,,"
	Ives Gandra Martins comenta cenário atual da economia e política no Brasil, reforma previdenciária e situação do ex-presidente Lula."
O ESTRANHO CASO DE UM CERTO SÍTIO EM ATIBAIA,,"
	Sobre como o sítio de um jovem desconhecido e de poucos recursos mobilizou as maiores empreiteiras do país."
POR QUE NÃO EXISTE UM PARTIDO CONSERVADOR NO BRASIL?,,"
	A diferença entre conservadores e liberais não é o liberalismo destes. Falta algo essencial aos conservadores brasileiros. Saiba o que é."
O BRASIL QUE EU QUERO (TV Globo),,"
	Penso que todos deveríamos gravar vídeos curtos dessa linha e propagarmos nas redes sociais."
DE PRESIDENTE A PRESIDIÁRIO,,"
	Uma análise das causas dos crimes de corrupção investigados no país e dos motivos pelos quais tantos os toleram ou se recusam a admitir que foram praticados."
PRISÃO POR CONDENAÇÃO EM SEGUNDA INSTÂNCIA,,"
	Dr. Ives Gandra da Silva Martins fala sobre prisão após condenação de réu em segunda instância."
O ESTRANHO CASO DE UM CERTO SÍTIO EM ATIBAIA,,"
	Sobre como o sítio de um jovem desconhecido e de poucos recursos mobilizou as maiores empreiteiras do país."
DR. IVES GANDRA COMENTA JULGAMENTO DE LULA,,"
	Uma análise da situação jurídico-política da pessoa do ex-presidente e a afrontosa pressão da militância petista."
BREVE EM PORTO ALEGRE - O PARTIDO DA MENTIRA IN CONCERT,,"
	Como a imensa e poderosa máquina petista e esquerdopata sufoca a verdade."
ENTREGAR DE VEZ O PAIS AOS PATIFES?,,"
	Os indignados com a atual representação parlamentar que votarem em branco ou anularem voto em 2018 estarão entregando o país a um número ainda maior de patifes."
FIDELIDADE AO PT NAS ESTATAIS E OS FUNDOS DE PENSÃO,,"
	Como negócios estranhos e investimentos desastrosos causam rombos de dezenas de bilhões de reais, mas não afetam a devoção ao PT nas estatais brasileiras."
OS FAZEDORES DE CABEÇA E O ASSASSINATO DA HISTÓRIA,,"
	Empírica e eloquente constatação dos maus tratos, tortura e execução sumária a que a História é submetida por professores militantes de partidos de esquerda."
O BRASIL NÃO ERA ASSIM,,"
	Como um país onde milhões quiseram vir morar, tornou-se um país de onde tantos querem ir embora"
NIGEL FARAGE CONFRONTA O PARLAMENTO EUROPEU SOBRE A INFLUÊNCIA DE GEORGE SOROS,,"
	Quando se fala em globalismo, estrutura supranacional de poder político e demolição dos valores e da cultura ocidental, há quem diga que se trata de fantasmagorias e teoria da conspiração. Assista, então."
PROFETAS DE BELZEBU,,"
	Ninguém ajudou mais os movimentos pró-vida do que o ministro Roberto Barroso, abortista."
DERRUBAR ESTÁTUAS,,"
	Neste pequeno e importante vídeo, José Manuel Fernandes, jornalista português, mostra estar em curso no seu país o mesmo processo de desconstrução cultural que venho denunciando aqui."
O ENEM E SEU INFAME PROJETO TOTALITÁRIO,,"
	Nada serve tão bem a um projeto totalitário de poder quanto um exame com as características do ENEM."
"FOI O PT QUE FEZ, CERTO? ERRADO!",,"
	Excelente exposição sobre falácias petistas, por André Fernandes."
ALEMANHA: PAI É PRESO POR FILHA TER SAÍDO DE AULA DE GÊNERO,,"
	É para onde querem nos levar os militantes  incrustados no Ministério da Educação, que falam, no Congresso, pelas vozes do PT, PSOL e PCdoB. Sempre os mesmos partidos com visão totalitária do Estado.  Fonte: Observatório Interamericano de Biopolítica."
GUERRA CONTRA OS APLICATIVOS DE TRANSPORTE URBANO,,"
	Burocratas e políticos incompetentes não podem ver algo funcionando bem."
UMA DAS MAIS ARRASADORAS REFUTAÇÕES A QUE JÁ ASSISTI,,"
	Dr. Miguel Nagib, do Escola sem Partido responde e reduz a pó a posição contrária, expressa pelo deputado Glauber Braga, líder da bancada do PSOL"
UMA REVERÊNCIA AO TOTALITARISMO E UM INSULTO À HUMANIDADE,,"
	O memorial a Luiz Carlos Prestes e ao comunismo ofende o senso democrático da capital  gaúcha."
TUDO PARA ENGANAR VOCÊ,,"
	Estratégias de dissimulação usada por formadores de opinião para induzi-lo a tolerar o mal e recusar o bem."
OS INDISPENSÁVEIS LIMITES DA TOLERÂNCIA,,"
	Quando e como a tolerância deixa de ser virtude."
SÃO ALGUMAS CULTURAS MELHORES DO QUE OUTRAS?,,"
	Ou são todas as culturas e seus valores iguais? O autor best-seller Dinesh D'Souza, que nasceu na Índia e se mudou para os Estados Unidos, explica. "
ESPERANÇA NOS CONSERVADORES E LIBERAIS,,"
	Depois de décadas entregues a ""progressistas"", populistas e esquerdistas, o Brasil passa a depositar sua esperança de combater o desastre moral com a retomada dos valores e a buscar o progresso econômico e social no dinamismo próprio da livre iniciativa."
MEGA MANIFESTAÇÃO CONTRA IDEOLOGIA DE GÊNERO NO PERU,,"
	Impressionante e exemplar manifestação de rua contra essa praga ideológica que infesta o mundo, ocorrida em Lima, com gigantesca adesão popular. Mais uma evidência de que se trata de um plano internacional, com meios abundantes e finalidades perversas."
INIMIGOS PÚBLICOS,,"
	Vídeo gravado por Roberto Motta, adaptando para vídeo um texto meu sobre segurança pública."
COMO NASCE UM CORRUPTO,,"
	A origem comum das várias formas de corrupção."
URGENTE! IDEOOGIA DE GÊNERO ATACA NOVAMENTE NA BASE NACIONAL COMUM CURRICULAR,,"
	Prof. Felipe Nery denuncia a terceira tentativa do movimento LGBT, atuante no MEC, de afetar a sexualidade das crianças através da ideologia de gênero nas salas de aula."
CADÁVERES POLÍTICOS E SEUS ELEITORES,,"
	Há os que chamam bandidos de heróis. E há os que sepultam quem os iludiu."
ESTA MÉDICA REDUZIU A PÓ A IDEOLOGIA DE GÊNERO,,"
	Eles não desistem e voltaram. É preciso defender nossas crianças tanto da tentativa de erotizá-las precocemente quanto da  tentativa de dessexualizá-las para manobrá-las num projeto político-ideológico.  Se tiver dúvida, fique com a ciência em lugar do proselitismo. Se ainda assim tiver dúvida, observe quem defende a ideologia de gênero. Se ainda assim tiver dúvida é porque você faz parte do projeto."
"LULA, TEÚDO E MANTEÚDO",,"
	Como alguém pode se apresentar assim, tão ridículo, ao juiz e à nação?"
"QUEERMUSEU, UM JOGO DE PODER",,"
	Análise das forças que atuaram no caso da exposição promovida pelo movimento LGBT em Porto Alegre."
